generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,37.940000,12.500000,0.220800,0.124102,0.451791
500,37.620000,12.820000,0.109204,0.120878,0.493136
1000,36.560000,12.760000,0.078370,0.113709,0.498196
1500,41.500000,12.880000,0.034161,0.113490,0.519525
2000,37.360000,12.560000,0.028662,0.103891,0.504976
2500,40.100000,12.040000,0.013289,0.106855,0.485690
3000,44.200000,12.280000,0.009772,0.105075,0.494890
3500,38.380000,12.400000,0.006452,0.104437,0.515394
4000,43.160000,11.760000,0.003401,0.108024,0.473097
4500,35.460000,11.980000,0.003339,0.096760,0.489931
5000,41.840000,12.460000,0.003210,0.099815,0.504470
