generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,37.620000,10.840000,0.261993,0.157897,0.389234
500,41.460000,12.560000,0.121019,0.109988,0.480061
1000,48.160000,12.880000,0.086957,0.105491,0.513611
1500,39.900000,12.860000,0.052877,0.101830,0.510709
2000,41.160000,12.620000,0.028526,0.100322,0.507698
2500,38.700000,12.600000,0.019048,0.104788,0.518182
3000,39.660000,11.740000,0.013629,0.110702,0.473933
3500,44.800000,12.060000,0.003317,0.099523,0.495359
4000,40.220000,12.400000,0.003226,0.080377,0.511719
4500,39.480000,12.820000,0.003120,0.090541,0.517474
5000,32.760000,13.120000,0.003049,0.075514,0.541595
