generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,36.460000,11.560000,0.235294,0.144321,0.406880
500,39.220000,12.800000,0.140625,0.117008,0.477803
1000,33.640000,12.720000,0.103774,0.117481,0.496736
1500,43.000000,12.740000,0.053375,0.108176,0.500598
2000,31.820000,12.980000,0.033898,0.101336,0.522230
2500,36.500000,12.540000,0.022329,0.090386,0.508720
3000,40.960000,12.300000,0.016260,0.097271,0.504191
3500,40.880000,12.380000,0.006462,0.096559,0.502618
4000,44.480000,12.480000,0.006410,0.111665,0.510617
4500,34.760000,12.380000,0.003231,0.097024,0.506681
5000,47.060000,12.180000,0.000000,0.099994,0.503051
