generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,34.280000,11.960000,0.240803,0.136720,0.420056
500,42.120000,12.540000,0.133971,0.125634,0.479092
1000,32.640000,12.600000,0.092063,0.109325,0.486601
1500,33.160000,12.280000,0.055375,0.118167,0.485655
2000,41.080000,12.600000,0.038095,0.101606,0.507621
2500,39.060000,12.600000,0.019048,0.107399,0.513773
3000,43.800000,12.780000,0.006260,0.095754,0.518220
3500,38.200000,12.220000,0.000000,0.097967,0.499215
4000,40.040000,12.180000,0.000000,0.110455,0.506526
4500,45.960000,11.680000,0.000000,0.092475,0.476094
5000,40.020000,11.980000,0.000000,0.114042,0.491352
