generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,39.800000,11.800000,0.233898,0.137313,0.423732
500,38.960000,12.400000,0.141935,0.129083,0.472761
1000,40.620000,12.820000,0.087363,0.112337,0.502841
1500,39.680000,12.460000,0.044944,0.105120,0.500343
2000,39.860000,12.840000,0.037383,0.100823,0.517581
2500,41.060000,12.440000,0.025723,0.098179,0.500406
3000,37.720000,11.980000,0.020033,0.111590,0.486616
3500,38.900000,12.220000,0.013093,0.113894,0.490158
4000,35.600000,12.560000,0.012739,0.095526,0.513678
4500,42.660000,12.580000,0.006359,0.097360,0.513631
5000,40.240000,11.640000,0.003436,0.103286,0.466008
