generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,42.280000,12.200000,0.259016,0.136653,0.421282
500,36.140000,13.240000,0.129909,0.108924,0.498167
1000,39.980000,13.120000,0.091463,0.107801,0.511995
1500,41.900000,13.320000,0.057057,0.101341,0.522692
2000,35.280000,13.340000,0.032984,0.094193,0.535537
2500,39.560000,12.140000,0.019769,0.115097,0.507010
3000,39.840000,12.180000,0.013136,0.092300,0.499723
3500,39.700000,12.120000,0.003300,0.102145,0.500035
4000,40.600000,11.900000,0.003361,0.107338,0.488146
4500,42.120000,11.940000,0.000000,0.109168,0.490662
5000,38.320000,12.160000,0.000000,0.102646,0.501035
