generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,41.580000,11.420000,0.248687,0.152765,0.406481
500,33.840000,12.860000,0.136858,0.117273,0.488775
1000,44.700000,12.640000,0.101266,0.108367,0.485901
1500,45.880000,12.580000,0.060413,0.111711,0.503488
2000,35.060000,12.540000,0.031898,0.100330,0.493954
2500,39.460000,12.580000,0.025437,0.106833,0.498638
3000,40.440000,12.340000,0.016207,0.110871,0.498532
3500,44.240000,12.460000,0.009631,0.101158,0.504329
4000,43.640000,12.280000,0.006515,0.100659,0.490917
4500,41.300000,12.340000,0.003241,0.092861,0.513822
5000,41.000000,13.020000,0.003072,0.083014,0.537607
