generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,39.740000,12.460000,0.263242,0.134658,0.441745
500,37.460000,13.460000,0.154532,0.121797,0.508427
1000,43.280000,13.060000,0.088821,0.106843,0.495799
1500,39.620000,12.340000,0.035656,0.102621,0.496987
2000,41.340000,12.900000,0.018605,0.099158,0.521092
2500,36.480000,12.620000,0.015848,0.096711,0.509832
3000,39.400000,12.600000,0.009524,0.095574,0.512727
3500,36.840000,12.260000,0.003263,0.103033,0.504713
4000,32.140000,12.400000,0.000000,0.092582,0.505642
4500,38.060000,12.400000,0.000000,0.098890,0.505861
5000,43.280000,11.860000,0.000000,0.105389,0.477149
