generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,39.140000,11.380000,0.246046,0.144800,0.396401
500,43.360000,12.640000,0.132911,0.120825,0.492361
1000,33.660000,12.680000,0.078864,0.109956,0.502125
1500,38.120000,12.900000,0.055814,0.099176,0.518762
2000,44.760000,12.780000,0.028169,0.102239,0.524766
2500,32.760000,13.040000,0.012270,0.099553,0.527837
3000,40.520000,12.100000,0.003306,0.105889,0.498364
3500,34.060000,12.380000,0.003231,0.100194,0.496683
4000,39.340000,12.300000,0.000000,0.094260,0.492634
4500,33.180000,12.780000,0.000000,0.101071,0.529346
5000,42.580000,12.220000,0.000000,0.082172,0.500068
