generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,41.920000,11.920000,0.244966,0.143776,0.424831
500,44.760000,12.620000,0.129952,0.116653,0.486902
1000,39.260000,13.420000,0.080477,0.108931,0.519127
1500,37.460000,13.080000,0.048930,0.103147,0.523022
2000,40.680000,12.460000,0.032103,0.115733,0.503949
2500,42.920000,12.340000,0.022690,0.102682,0.498903
3000,34.160000,12.440000,0.009646,0.110332,0.504688
3500,40.240000,12.760000,0.006270,0.096739,0.516358
4000,40.260000,13.060000,0.000000,0.086786,0.531598
4500,38.580000,12.140000,0.000000,0.104556,0.494820
5000,31.120000,11.900000,0.000000,0.102644,0.485116
