generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,35.160000,11.460000,0.286213,0.147664,0.410816
500,33.980000,12.560000,0.156051,0.130028,0.477528
1000,31.860000,12.920000,0.071207,0.117890,0.514902
1500,37.380000,13.180000,0.036419,0.100563,0.530026
2000,30.760000,12.880000,0.012422,0.097824,0.526807
2500,37.840000,12.560000,0.009554,0.104531,0.512166
3000,34.560000,12.160000,0.006579,0.103810,0.490457
3500,37.240000,12.340000,0.006483,0.097241,0.504928
4000,35.000000,12.540000,0.003190,0.101925,0.511757
4500,39.740000,12.180000,0.000000,0.108036,0.499897
5000,35.500000,12.280000,0.000000,0.104729,0.498064
