generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,36.540000,12.020000,0.272879,0.142504,0.426425
500,34.460000,12.660000,0.151659,0.122615,0.482653
1000,43.040000,13.400000,0.089552,0.103942,0.527434
1500,36.920000,12.460000,0.067416,0.106012,0.484752
2000,33.160000,12.460000,0.051364,0.113698,0.497623
2500,35.200000,12.680000,0.025237,0.092416,0.511445
3000,31.600000,12.160000,0.026316,0.116630,0.486231
3500,42.700000,12.580000,0.009539,0.098603,0.511277
4000,40.280000,12.400000,0.006452,0.074718,0.504792
4500,46.880000,11.940000,0.006700,0.098444,0.478201
5000,42.500000,11.760000,0.003401,0.102314,0.481572
