generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,37.760000,12.220000,0.268412,0.133466,0.438074
500,42.740000,12.800000,0.153125,0.126708,0.484197
1000,38.560000,13.240000,0.090634,0.108667,0.523548
1500,42.840000,13.340000,0.053973,0.093312,0.526769
2000,36.800000,13.240000,0.030211,0.084341,0.534337
2500,41.820000,12.700000,0.022047,0.090824,0.509878
3000,45.120000,12.660000,0.012638,0.106029,0.517681
3500,44.360000,12.740000,0.006279,0.097887,0.526772
4000,41.400000,12.660000,0.003160,0.109103,0.514071
4500,38.380000,12.240000,0.000000,0.108058,0.507408
5000,37.720000,12.580000,0.000000,0.100072,0.515167
