generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,38.680000,12.840000,0.255452,0.132639,0.452974
500,42.700000,12.960000,0.141975,0.117557,0.483605
1000,39.140000,13.560000,0.085546,0.107362,0.526127
1500,30.920000,13.080000,0.070336,0.103926,0.507835
2000,36.620000,13.060000,0.045942,0.109644,0.517293
2500,31.880000,12.280000,0.029316,0.108711,0.490354
3000,32.220000,12.480000,0.016026,0.094960,0.506127
3500,33.100000,12.400000,0.009677,0.105433,0.499429
4000,36.520000,12.600000,0.009524,0.084524,0.524644
4500,33.020000,11.980000,0.006678,0.109899,0.484918
5000,35.580000,11.620000,0.006885,0.104208,0.470226
