generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,40.320000,11.900000,0.218487,0.132602,0.429775
500,35.680000,12.480000,0.125000,0.119842,0.471285
1000,41.060001,12.800000,0.065625,0.108048,0.500233
1500,35.880001,12.280000,0.035831,0.108623,0.485487
2000,35.779999,12.040000,0.016611,0.110610,0.488178
2500,36.619999,12.160000,0.013158,0.107825,0.494307
3000,34.459999,12.180000,0.009852,0.079056,0.503834
3500,46.200001,12.000000,0.006667,0.108328,0.483149
4000,32.799999,12.220000,0.006547,0.108787,0.495801
4500,44.020000,12.740000,0.003140,0.097806,0.516349
5000,37.560001,12.400000,0.000000,0.099486,0.497837
