generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,45.439999,11.740000,0.211244,0.139529,0.428293
500,41.279999,12.060000,0.106136,0.123575,0.467404
1000,42.119999,12.380000,0.061389,0.118852,0.493122
1500,37.720001,12.720000,0.037736,0.109573,0.509817
2000,36.259998,12.860000,0.024883,0.102831,0.527738
2500,43.400002,12.640000,0.012658,0.103125,0.510518
3000,37.340000,12.620000,0.012678,0.101225,0.510647
3500,35.680000,12.740000,0.009419,0.106177,0.508520
4000,41.060001,12.240000,0.006536,0.103306,0.500034
4500,36.259998,12.640000,0.006329,0.094202,0.513066
5000,42.259998,13.160000,0.006079,0.098814,0.528168
