generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,37.400002,12.680000,0.293375,0.145754,0.448038
500,41.439999,12.840000,0.186916,0.125854,0.479350
1000,43.799999,12.480000,0.118590,0.116069,0.474365
1500,44.139999,12.360000,0.064725,0.110979,0.483655
2000,40.360001,12.540000,0.044657,0.113337,0.498433
2500,29.000000,12.280000,0.026059,0.112053,0.487521
3000,38.860001,11.640000,0.020619,0.114880,0.472595
3500,42.099998,12.200000,0.013115,0.109751,0.492879
4000,39.000000,12.520000,0.012780,0.104555,0.501784
4500,40.880001,12.420000,0.006441,0.091609,0.503963
5000,41.680000,12.800000,0.006250,0.103776,0.527518
