generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,35.080002,11.860000,0.242833,0.146360,0.424656
500,34.119999,13.200000,0.130303,0.114547,0.496560
1000,39.080002,13.120000,0.070122,0.098759,0.516781
1500,37.840000,12.340000,0.045381,0.090443,0.486241
2000,41.820000,12.660000,0.022117,0.107112,0.514659
2500,35.959999,13.080000,0.018349,0.100619,0.521396
3000,40.240002,12.700000,0.012598,0.097322,0.506934
3500,41.759998,12.400000,0.012903,0.099986,0.503846
4000,43.240002,12.360000,0.006472,0.110237,0.508095
4500,39.459999,12.700000,0.006299,0.079802,0.525300
5000,39.520000,12.440000,0.003215,0.107535,0.510744
