generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,39.040001,11.540000,0.225303,0.135287,0.410659
500,37.200001,12.840000,0.121495,0.115169,0.494078
1000,44.040001,12.460000,0.080257,0.116001,0.488197
1500,46.880001,11.980000,0.060100,0.107643,0.479829
2000,44.980000,12.900000,0.031008,0.104752,0.515173
2500,38.580002,11.920000,0.020134,0.103353,0.486059
3000,38.599998,12.360000,0.006472,0.104108,0.509529
3500,39.919998,12.300000,0.006504,0.097967,0.494156
4000,40.279999,12.420000,0.006441,0.091226,0.509573
4500,41.400002,12.540000,0.006380,0.085405,0.515735
5000,37.959999,11.760000,0.003401,0.120249,0.479964
