generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,42.259998,12.060000,0.225539,0.137135,0.441098
500,39.220001,12.000000,0.156667,0.128815,0.439683
1000,34.880001,12.600000,0.095238,0.117172,0.496068
1500,43.599998,12.900000,0.055814,0.097219,0.512442
2000,40.840000,12.840000,0.024922,0.105169,0.515610
2500,38.759998,12.380000,0.022617,0.094006,0.489792
3000,35.660000,12.320000,0.019481,0.106765,0.494137
3500,39.299999,12.280000,0.016287,0.103628,0.499657
4000,40.820000,12.060000,0.006633,0.098314,0.480623
4500,45.099998,12.320000,0.003247,0.101623,0.503201
5000,37.480000,12.580000,0.003180,0.101851,0.510945
