generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,40.660000,11.140000,0.222621,0.147161,0.402854
500,42.540001,12.260000,0.110930,0.123867,0.462703
1000,40.840000,13.000000,0.080000,0.106493,0.506634
1500,34.939999,12.720000,0.044025,0.108109,0.513913
2000,42.419998,12.540000,0.019139,0.105828,0.503120
2500,35.240002,11.960000,0.016722,0.107808,0.483366
3000,36.919998,11.660000,0.006861,0.107060,0.476136
3500,45.220001,12.460000,0.000000,0.091710,0.506570
4000,42.459999,13.080000,0.000000,0.081675,0.537537
4500,40.040001,12.240000,0.000000,0.097093,0.508874
5000,38.180000,12.240000,0.000000,0.106189,0.495558
