generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,44.560001,11.620000,0.271945,0.142094,0.413385
500,42.540001,12.620000,0.129952,0.119023,0.483530
1000,43.000000,12.940000,0.080371,0.108700,0.501526
1500,40.459999,13.040000,0.036810,0.091979,0.527952
2000,38.540001,13.100000,0.030534,0.094240,0.525303
2500,36.680000,13.280000,0.012048,0.094364,0.546060
3000,42.740002,12.860000,0.006221,0.102453,0.521438
3500,37.060001,12.520000,0.003195,0.096665,0.514514
4000,33.980000,12.820000,0.000000,0.086944,0.521048
4500,42.520000,13.060000,0.000000,0.096171,0.531725
5000,35.779999,12.940000,0.000000,0.095197,0.529973
