generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,36.840000,11.360000,0.176056,0.137386,0.434836
500,44.919998,12.680000,0.110410,0.118459,0.492296
1000,38.119999,12.800000,0.078125,0.118285,0.512457
1500,44.540001,12.420000,0.048309,0.111849,0.491498
2000,45.299999,12.480000,0.028846,0.104684,0.493488
2500,38.360001,12.180000,0.016420,0.110770,0.496958
3000,35.720001,12.600000,0.012698,0.105035,0.517779
3500,39.180000,12.240000,0.003268,0.110799,0.499725
4000,39.180000,11.900000,0.000000,0.110189,0.477035
4500,41.119999,11.940000,0.000000,0.116654,0.489704
5000,45.400002,12.600000,0.000000,0.100552,0.511731
