generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,42.180000,12.440000,0.218650,0.134545,0.455505
500,39.619999,11.980000,0.126878,0.125504,0.458337
1000,45.400002,13.140000,0.073059,0.110206,0.509713
1500,37.459999,12.580000,0.038156,0.107567,0.505690
2000,40.560001,12.660000,0.028436,0.104943,0.506374
2500,31.080000,12.620000,0.019017,0.109294,0.517945
3000,40.439999,11.960000,0.016722,0.105129,0.489641
3500,44.160000,11.980000,0.013356,0.102147,0.490571
4000,41.099998,12.380000,0.012924,0.102556,0.498210
4500,42.119999,12.380000,0.012924,0.092004,0.503342
5000,42.919998,12.520000,0.006390,0.105535,0.508011
