generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,39.759998,11.940000,0.247906,0.138709,0.429488
500,40.480000,12.900000,0.142636,0.117797,0.492955
1000,39.660000,12.780000,0.075117,0.110482,0.507323
1500,45.900002,12.980000,0.049307,0.100694,0.520753
2000,42.779999,12.560000,0.038217,0.105893,0.497300
2500,37.660000,12.840000,0.031153,0.104432,0.519630
3000,38.639999,12.060000,0.023217,0.109770,0.483885
3500,41.060001,12.300000,0.016260,0.104283,0.492719
4000,38.380001,12.380000,0.009693,0.105936,0.504409
4500,40.139999,12.060000,0.003317,0.107738,0.488844
5000,42.139999,12.280000,0.003257,0.105559,0.495409
