generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,40.080002,12.260000,0.238173,0.134367,0.438672
500,43.959999,13.260000,0.114630,0.108065,0.497599
1000,35.939999,12.900000,0.068217,0.107012,0.504278
1500,36.919998,12.720000,0.044025,0.103953,0.505938
2000,41.680000,12.640000,0.018987,0.097414,0.503040
2500,45.000000,12.740000,0.006279,0.083958,0.512019
3000,42.279999,12.060000,0.003317,0.114840,0.484174
3500,34.799999,12.400000,0.003226,0.109684,0.498626
4000,45.139999,12.660000,0.000000,0.103620,0.512087
4500,40.320000,12.260000,0.000000,0.104934,0.496994
5000,34.360001,12.480000,0.000000,0.107336,0.509986
