generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,44.459999,11.880000,0.218855,0.134778,0.429279
500,41.180000,12.600000,0.123810,0.118970,0.484773
1000,41.759998,12.200000,0.068852,0.111178,0.478723
1500,43.799999,12.500000,0.038400,0.101722,0.500340
2000,39.840000,12.920000,0.018576,0.099488,0.516226
2500,38.820000,12.400000,0.016129,0.113240,0.502565
3000,38.720001,12.320000,0.006494,0.096832,0.490204
3500,40.200001,12.540000,0.006380,0.102588,0.504321
4000,39.959999,12.720000,0.003145,0.104605,0.513338
4500,39.660000,11.980000,0.003339,0.092742,0.487871
5000,43.119999,11.980000,0.003339,0.104826,0.493964
