generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,37.599998,11.680000,0.273973,0.147300,0.411812
500,42.220001,12.940000,0.145286,0.115448,0.486411
1000,35.840000,12.680000,0.085174,0.111275,0.489634
1500,38.820000,12.800000,0.043750,0.107836,0.508538
2000,40.779999,11.900000,0.026891,0.095788,0.489845
2500,43.820000,12.480000,0.016026,0.094836,0.503805
3000,43.759998,12.240000,0.006536,0.100700,0.496438
3500,41.720001,12.420000,0.003221,0.106266,0.508529
4000,40.660000,12.120000,0.003300,0.099759,0.486606
4500,40.299999,12.400000,0.003226,0.080436,0.501470
5000,40.099998,12.340000,0.003241,0.102861,0.512867
