generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,38.680000,11.900000,0.238655,0.133758,0.426510
500,37.320000,12.020000,0.133111,0.121877,0.467426
1000,42.980000,12.860000,0.083981,0.114540,0.500776
1500,40.419998,12.860000,0.055988,0.105279,0.508458
2000,36.160000,12.800000,0.040625,0.104794,0.505187
2500,41.880001,12.720000,0.025157,0.106937,0.509143
3000,41.459999,13.140000,0.018265,0.094598,0.535817
3500,40.000000,13.020000,0.012289,0.098290,0.519740
4000,36.700001,12.740000,0.009419,0.100620,0.510675
4500,37.360001,12.540000,0.006380,0.111193,0.517952
5000,39.599998,11.980000,0.003339,0.102501,0.491061
