generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,41.900002,11.680000,0.253425,0.152985,0.427354
500,47.419998,12.980000,0.147920,0.115181,0.489133
1000,42.400002,13.000000,0.076923,0.102246,0.503922
1500,39.360001,12.760000,0.037618,0.099379,0.508554
2000,43.880001,12.400000,0.016129,0.098290,0.499730
2500,38.040001,11.940000,0.010050,0.108523,0.481364
3000,43.639999,11.940000,0.006700,0.107340,0.487274
3500,37.400002,12.660000,0.003160,0.110701,0.508599
4000,40.520000,12.760000,0.003135,0.093421,0.520364
4500,34.840000,12.400000,0.003226,0.086026,0.506426
5000,37.040001,11.820000,0.003384,0.115250,0.478479
