generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,43.799999,11.640000,0.213058,0.135947,0.420675
500,39.959999,12.400000,0.106452,0.113022,0.471604
1000,39.459999,12.700000,0.066142,0.112028,0.499796
1500,41.500000,12.120000,0.033003,0.111954,0.480286
2000,43.419998,12.680000,0.022082,0.111936,0.508634
2500,39.959999,12.560000,0.015924,0.098405,0.508103
3000,42.439999,11.740000,0.013629,0.094746,0.479570
3500,45.619999,12.340000,0.006483,0.090000,0.506705
4000,41.180000,12.980000,0.006163,0.083774,0.530400
4500,41.660000,12.840000,0.006231,0.095867,0.521078
5000,38.419998,11.900000,0.006723,0.106107,0.484019
