generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,36.680000,12.880000,0.285714,0.129901,0.448374
500,44.060001,13.660000,0.155198,0.113762,0.510062
1000,41.720001,12.600000,0.095238,0.110535,0.482421
1500,45.040001,12.500000,0.060800,0.108876,0.490670
2000,42.139999,12.420000,0.041868,0.113182,0.490162
2500,41.799999,12.120000,0.013201,0.098418,0.491159
3000,41.619999,12.520000,0.006390,0.098079,0.503564
3500,39.040001,12.060000,0.003317,0.106478,0.486860
4000,43.299999,12.560000,0.003185,0.102437,0.509707
4500,41.419998,11.900000,0.003361,0.107514,0.479496
5000,37.540001,12.120000,0.000000,0.093744,0.500346
