generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,41.119999,11.580000,0.245250,0.142521,0.414548
500,41.060001,12.760000,0.125392,0.113036,0.488943
1000,33.040001,13.140000,0.082192,0.099574,0.510733
1500,39.139999,12.600000,0.057143,0.114821,0.495881
2000,33.599998,12.280000,0.032573,0.114865,0.489546
2500,41.419998,12.420000,0.019324,0.086992,0.505686
3000,41.919998,11.860000,0.010118,0.109065,0.473068
3500,37.540001,12.620000,0.003170,0.111504,0.513744
4000,30.100000,12.580000,0.000000,0.100570,0.514054
4500,47.799999,12.380000,0.000000,0.095483,0.503301
5000,45.759998,11.900000,0.000000,0.111335,0.489215
