generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,43.480000,11.080000,0.220217,0.152385,0.418206
500,37.119999,12.280000,0.104235,0.118354,0.482223
1000,35.279999,12.800000,0.068750,0.095155,0.512587
1500,42.119999,13.260000,0.045249,0.088508,0.530737
2000,38.099998,12.660000,0.028436,0.100333,0.512673
2500,40.700001,12.460000,0.016051,0.093099,0.497761
3000,44.180000,12.880000,0.009317,0.094646,0.522829
3500,41.279999,12.620000,0.006339,0.102783,0.516073
4000,35.759998,12.660000,0.006319,0.099340,0.514110
4500,39.639999,12.340000,0.003241,0.100540,0.503197
5000,47.439999,12.400000,0.000000,0.094528,0.513127
