generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,43.820000,11.180000,0.232558,0.147147,0.410382
500,43.680000,12.100000,0.099174,0.125083,0.479398
1000,38.619999,12.100000,0.052893,0.115304,0.483100
1500,45.660000,11.840000,0.037162,0.116724,0.476302
2000,36.360001,12.860000,0.024883,0.092975,0.511165
2500,44.240002,12.320000,0.019481,0.106500,0.497185
3000,38.639999,12.580000,0.009539,0.102299,0.505360
3500,39.959999,12.240000,0.006536,0.095344,0.497942
4000,39.160000,12.100000,0.006612,0.098590,0.493567
4500,35.220001,12.260000,0.003263,0.097000,0.497447
5000,41.240002,12.700000,0.003150,0.100501,0.518024
