generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,45.520000,11.900000,0.252101,0.141181,0.420250
500,43.459999,12.940000,0.126739,0.120157,0.488772
1000,36.560001,12.940000,0.074189,0.115694,0.499373
1500,34.680000,12.560000,0.047771,0.110032,0.502282
2000,35.580002,12.280000,0.032573,0.112782,0.489172
2500,39.480000,11.920000,0.020134,0.110992,0.481261
3000,44.560001,12.320000,0.012987,0.097267,0.489888
3500,40.759998,11.660000,0.010292,0.101390,0.468985
4000,41.860001,11.740000,0.010221,0.108398,0.484289
4500,42.119999,12.060000,0.009950,0.113112,0.492141
5000,40.959999,12.640000,0.006329,0.094119,0.516197
