generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,36.799999,12.060000,0.258706,0.141055,0.418090
500,40.520000,12.420000,0.173913,0.128045,0.462256
1000,45.160000,13.140000,0.112633,0.109034,0.508673
1500,47.020000,12.620000,0.088748,0.115974,0.490149
2000,41.040001,12.220000,0.042553,0.114487,0.498077
2500,39.919998,12.120000,0.023102,0.109785,0.476402
3000,36.419998,12.480000,0.022436,0.098261,0.506575
3500,36.160000,12.460000,0.019262,0.106350,0.506504
4000,39.840000,12.380000,0.012924,0.108614,0.500744
4500,39.680000,12.520000,0.006390,0.100584,0.505536
5000,36.439999,12.860000,0.003110,0.095649,0.513986
