generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,41.939999,11.580000,0.217617,0.144587,0.434609
500,32.939999,13.040000,0.128834,0.110828,0.493739
1000,34.139999,12.720000,0.078616,0.113997,0.497705
1500,44.020000,12.040000,0.049834,0.111733,0.473591
2000,35.639999,11.660000,0.034305,0.120250,0.466256
2500,41.419998,12.800000,0.015625,0.087145,0.522603
3000,36.840000,12.520000,0.006390,0.097905,0.500230
3500,45.340000,11.880000,0.003367,0.118283,0.484871
4000,40.580002,11.620000,0.003442,0.116071,0.468722
4500,39.740002,11.580000,0.003454,0.106925,0.468636
5000,43.639999,11.640000,0.000000,0.113026,0.487014
