generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,39.240002,12.000000,0.250000,0.140219,0.430882
500,44.820000,13.100000,0.149618,0.120190,0.503907
1000,42.639999,12.700000,0.091339,0.116478,0.494450
1500,39.340000,12.440000,0.054662,0.091832,0.502493
2000,42.480000,12.100000,0.036364,0.107073,0.484335
2500,34.340000,12.600000,0.019048,0.101873,0.522527
3000,42.360001,12.860000,0.003110,0.090849,0.528240
3500,45.599998,12.620000,0.003170,0.100596,0.515177
4000,45.439999,12.560000,0.000000,0.096559,0.508197
4500,38.759998,12.340000,0.000000,0.111091,0.502567
5000,46.520000,12.580000,0.000000,0.100908,0.502302
