generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,39.540001,11.140000,0.222621,0.137390,0.396824
500,41.799999,12.000000,0.123333,0.125463,0.449612
1000,40.360001,12.640000,0.082278,0.107902,0.488309
1500,41.820000,12.680000,0.050473,0.119096,0.496868
2000,36.500000,12.560000,0.028662,0.100705,0.509874
2500,35.340000,12.220000,0.013093,0.101812,0.495196
3000,33.419998,12.480000,0.012821,0.098594,0.504366
3500,37.599998,12.680000,0.009464,0.090879,0.510004
4000,40.139999,12.900000,0.003101,0.091808,0.517025
4500,40.060001,12.200000,0.000000,0.095684,0.496851
5000,46.639999,12.080000,0.000000,0.106118,0.480906
