generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,36.000000,12.120000,0.224422,0.131764,0.443352
500,39.060001,12.900000,0.139535,0.117189,0.481547
1000,41.000000,13.160000,0.091185,0.105042,0.509496
1500,40.180000,13.100000,0.054962,0.099681,0.518093
2000,42.799999,11.920000,0.030201,0.102042,0.482234
2500,37.959999,12.880000,0.021739,0.103016,0.512316
3000,43.259998,12.580000,0.015898,0.099882,0.501222
3500,37.880001,12.220000,0.003273,0.103548,0.495015
4000,40.000000,12.420000,0.003221,0.101663,0.501767
4500,38.400002,12.140000,0.003295,0.107085,0.494076
5000,37.639999,12.280000,0.000000,0.098931,0.501423
