generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,37.840000,11.560000,0.245675,0.143106,0.407136
500,41.560001,12.220000,0.134206,0.122352,0.467059
1000,31.320000,12.840000,0.096573,0.106985,0.489678
1500,42.880001,13.080000,0.039755,0.103121,0.514345
2000,45.480000,13.200000,0.018182,0.094989,0.528131
2500,46.639999,12.500000,0.009600,0.083780,0.517296
3000,43.400002,12.060000,0.003317,0.094991,0.489520
3500,41.200001,12.080000,0.000000,0.096298,0.497178
4000,40.459999,12.140000,0.000000,0.098630,0.497051
4500,42.500000,12.800000,0.000000,0.097665,0.527294
5000,43.540001,12.360000,0.000000,0.100699,0.506895
