generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,38.180000,11.960000,0.234114,0.138725,0.426994
500,42.959999,13.060000,0.122511,0.112844,0.503032
1000,35.380001,12.720000,0.069182,0.106699,0.507133
1500,45.540001,12.860000,0.043546,0.104753,0.511282
2000,38.959999,12.460000,0.028892,0.097085,0.505109
2500,39.279999,12.560000,0.012739,0.103941,0.503354
3000,43.959999,12.480000,0.003205,0.108778,0.504262
3500,40.560001,12.060000,0.003317,0.097964,0.485890
4000,36.840000,12.600000,0.000000,0.092836,0.513312
4500,44.779999,12.260000,0.000000,0.099469,0.511893
5000,41.599998,11.940000,0.000000,0.090111,0.492087
