generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,43.279999,12.260000,0.247961,0.130736,0.439767
500,43.160000,12.860000,0.130638,0.113350,0.485172
1000,39.759998,12.720000,0.081761,0.106905,0.497097
1500,37.139999,12.400000,0.064516,0.115516,0.489233
2000,34.340000,12.780000,0.037559,0.105568,0.513298
2500,39.060001,12.780000,0.025039,0.099326,0.516592
3000,43.959999,12.120000,0.019802,0.113114,0.490395
3500,38.860001,12.600000,0.015873,0.095038,0.519873
4000,37.180000,12.800000,0.003125,0.091656,0.522316
4500,37.939999,12.340000,0.003241,0.107780,0.496120
5000,42.340000,12.480000,0.003205,0.099794,0.512763
