generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,33.340000,11.880000,0.259259,0.142629,0.426270
500,41.580002,12.540000,0.146730,0.123653,0.488325
1000,46.759998,13.520000,0.088757,0.090370,0.534571
1500,41.060001,13.780000,0.063861,0.089245,0.545766
2000,39.759998,13.340000,0.026987,0.106231,0.541306
2500,42.840000,12.820000,0.021841,0.097944,0.508338
3000,38.020000,12.380000,0.012924,0.095717,0.498442
3500,41.900002,11.920000,0.003356,0.095241,0.482734
4000,36.580002,11.920000,0.003356,0.094527,0.476976
4500,40.900002,12.520000,0.003195,0.092615,0.506394
5000,35.820000,12.280000,0.003257,0.106578,0.498703
