generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,43.439999,11.440000,0.279720,0.151163,0.394004
500,43.580002,12.560000,0.133758,0.123830,0.474287
1000,39.200001,12.820000,0.084243,0.111325,0.500881
1500,36.500000,12.780000,0.046948,0.109863,0.507887
2000,43.520000,12.680000,0.031546,0.103052,0.505705
2500,37.000000,12.140000,0.013180,0.101433,0.494038
3000,37.680000,12.760000,0.009404,0.100836,0.515340
3500,45.000000,11.980000,0.006678,0.102774,0.483315
4000,35.220001,12.420000,0.006441,0.099073,0.506366
4500,46.419998,11.660000,0.006861,0.096757,0.474947
5000,41.040001,11.860000,0.006745,0.112042,0.479648
