generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,42.380001,12.220000,0.245499,0.130111,0.427918
500,38.880001,13.100000,0.149618,0.112620,0.479244
1000,38.240002,13.220000,0.090772,0.108108,0.514500
1500,48.000000,13.400000,0.050746,0.105200,0.531002
2000,43.040001,12.860000,0.034215,0.094705,0.512690
2500,35.419998,13.140000,0.018265,0.096779,0.529965
3000,37.799999,12.600000,0.006349,0.104822,0.514159
3500,37.799999,12.440000,0.003215,0.102060,0.508235
4000,35.500000,12.100000,0.003306,0.105524,0.488652
4500,35.459999,12.220000,0.003273,0.110550,0.492445
5000,35.660000,12.520000,0.000000,0.090493,0.513397
