generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,38.080002,10.600000,0.196226,0.145805,0.394710
500,43.540001,12.080000,0.096026,0.116128,0.477997
1000,32.380001,12.840000,0.062305,0.104809,0.515237
1500,42.340000,12.940000,0.034003,0.098743,0.516247
2000,30.940001,12.460000,0.022472,0.086823,0.504869
2500,40.980000,12.740000,0.009419,0.097515,0.512428
3000,39.099998,12.260000,0.006525,0.095539,0.495052
3500,45.400002,12.400000,0.006452,0.076028,0.506000
4000,41.439999,11.620000,0.003442,0.102411,0.473361
4500,39.099998,12.260000,0.000000,0.105641,0.508426
5000,45.040001,12.260000,0.000000,0.102990,0.501463
