generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,41.380001,11.880000,0.255892,0.144987,0.425712
500,34.099998,13.320000,0.135135,0.113554,0.516112
1000,35.959999,12.600000,0.076190,0.106359,0.495255
1500,47.459999,11.800000,0.033898,0.112782,0.473372
2000,39.799999,11.380000,0.014060,0.113462,0.459358
2500,32.639999,12.500000,0.009600,0.099145,0.501293
3000,42.520000,12.460000,0.006421,0.100695,0.494330
3500,38.799999,11.860000,0.003373,0.107886,0.477258
4000,38.900002,12.440000,0.003215,0.108209,0.503150
4500,36.840000,12.200000,0.000000,0.097489,0.497353
5000,41.020000,12.400000,0.000000,0.094309,0.504093
