generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,45.880001,11.880000,0.262626,0.142521,0.419364
500,38.560001,13.000000,0.141538,0.112709,0.495883
1000,42.299999,12.740000,0.084772,0.109146,0.496495
1500,44.320000,12.500000,0.060800,0.121011,0.499232
2000,38.400002,12.340000,0.045381,0.107098,0.496595
2500,39.779999,11.800000,0.023729,0.113535,0.483358
3000,42.060001,12.220000,0.016367,0.109936,0.496872
3500,41.400002,12.400000,0.006452,0.096549,0.502712
4000,44.900002,12.640000,0.003165,0.086976,0.513808
4500,25.879999,12.740000,0.003140,0.102176,0.507080
5000,42.919998,12.280000,0.003257,0.109219,0.494641
