generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,43.180000,12.040000,0.255814,0.137080,0.423027
500,40.200001,13.000000,0.144615,0.119703,0.485660
1000,41.880001,13.360000,0.089820,0.106938,0.519271
1500,40.299999,13.220000,0.057489,0.099642,0.515086
2000,40.759998,12.520000,0.041534,0.101339,0.501416
2500,38.439999,11.820000,0.027073,0.110626,0.467423
3000,37.720001,12.960000,0.018519,0.107925,0.528899
3500,46.240002,13.100000,0.015267,0.088054,0.536591
4000,42.779999,13.160000,0.012158,0.098116,0.527234
4500,36.200001,12.420000,0.009662,0.097382,0.501771
5000,37.360001,12.380000,0.006462,0.100210,0.509419
